date,description,type,amount,main_category,sub_category,bank,account
2025-04-07,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-07,Maverik,debit,-49.92,Automotive & Fuel,Fuel,goldenwest,checking
2025-04-08,T-Mobile,debit,-27.9,Housing & Bills,Phone,goldenwest,checking
2025-04-08,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-08,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-08,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-08,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-08,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-08,Robinhood Investment,debit,-15.0,Savings & Investments,Investments,goldenwest,money market
2025-04-08,Robinhood Investment,debit,-500.0,Savings & Investments,Investments,goldenwest,money market
2025-04-09,Visa Service Fee,debit,-0.37,Housing & Bills,Service Fees,goldenwest,checking
2025-04-09,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-09,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-09,Ebook Academy,debit,-37.0,Education,Education,goldenwest,checking
2025-04-09,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-09,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-09,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-10,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-10,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-10,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-10,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-10,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-10,Roxberry Juice Co.,debit,-26.43,Food / Dining,Fast Food,goldenwest,checking
2025-04-11,Taco Bell,debit,-15.83,Food / Dining,Fast Food,goldenwest,checking
2025-04-11,Robinhood Investment,debit,-40.0,Savings & Investments,Investments,goldenwest,money market
2025-04-11,Payroll Deposit,credit,533.19,Income,Paychecks,goldenwest,checking
2025-04-11,Robinhood Investment,debit,-25.0,Savings & Investments,Investments,goldenwest,money market
2025-04-11,Robinhood Investment,debit,-324.9,Savings & Investments,Investments,goldenwest,money market
2025-04-12,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-12,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-12,Home Depot,debit,-70.32,Shopping & Supplies,Home Improvement,goldenwest,checking
2025-04-12,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-12,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-12,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-13,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-13,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-13,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-13,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-13,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-15,Robinhood Investment,debit,-40.0,Savings & Investments,Investments,goldenwest,money market
2025-04-15,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-15,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-15,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-15,Walmart Supercenter,debit,-15.47,Food / Dining,Groceries,goldenwest,checking
2025-04-15,Perks Payment,debit,-227.77,General Spending,Other,goldenwest,checking
2025-04-15,Oak Hills Pharmacy,debit,-23.01,Health & Wellness,Pharmacy,goldenwest,checking
2025-04-15,Life Starfish,debit,-500.0,Food / Dining,Groceries,goldenwest,checking
2025-04-15,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-15,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-16,Perks Payment,debit,-64.47,General Spending,Other,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-17,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-20,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-20,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-20,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-20,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-20,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-21,Bear River Insurance,debit,-189.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-04-21,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,money market
2025-04-21,Walmart Supercenter,debit,-3.67,Food / Dining,Groceries,goldenwest,checking
2025-04-21,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-21,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-21,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-21,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-21,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-22,Life Starfish,debit,-500.0,Food / Dining,Groceries,goldenwest,checking
2025-04-23,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-23,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-23,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-23,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-23,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-24,Life Starfish,debit,-22.0,Food / Dining,Groceries,goldenwest,checking
2025-04-25,Payroll Deposit,credit,661.69,Income,Paychecks,goldenwest,checking
2025-04-26,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-26,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-26,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-26,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-27,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-27,Google Services,debit,-21.48,Housing & Bills,Service Fees,goldenwest,checking
2025-04-28,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-28,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-28,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-28,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-28,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-28,Life Starfish,debit,-500.0,Food / Dining,Groceries,goldenwest,checking
2025-04-30,Interest Earned,credit,0.01,Savings & Investments,Dividends,sofi,savings
2025-04-30,Interest Earned,credit,2.62,Savings & Investments,Dividends,goldenwest,money market
2025-04-30,Interest Earned,credit,0.05,Savings & Investments,Dividends,goldenwest,checking
2025-04-30,Interest Earned,credit,0.55,Savings & Investments,Dividends,goldenwest,gold account
2025-05-01,Crosspointe Dental,debit,-360.0,Health & Wellness,Medical,goldenwest,checking
2025-05-04,Jacksons Food Stores,debit,-11.31,Food / Dining,Groceries,goldenwest,checking
2025-05-05,Byu (Campus Services),debit,-158.0,Education,Education,goldenwest,checking
2025-05-05,Cold Stone Creamery,debit,-12.97,Food / Dining,Fast Food,goldenwest,checking
2025-05-07,Costco Wholesale,debit,-92.41,Food / Dining,Groceries,goldenwest,checking
2025-05-07,Costco Wholesale,debit,-7.53,Food / Dining,Groceries,goldenwest,checking
2025-05-07,Costco Wholesale,debit,-52.98,Food / Dining,Groceries,goldenwest,checking
2025-05-08,T-Mobile,debit,-27.9,Housing & Bills,Phone,goldenwest,checking
2025-05-09,Payroll Deposit,credit,643.93,Income,Paychecks,goldenwest,checking
2025-05-10,Deposit Promo Deposit Youth Engagement Smart Money,credit,100.0,Other Income,Other,goldenwest,gold account
2025-05-15,Life Starfish,debit,-400.0,Food / Dining,Groceries,goldenwest,checking
2025-05-15,Sq Chromis Bakery Square Ut Card,debit,-6.0,General Spending,Other,goldenwest,checking
2025-05-15,Shoeman Enterprise One Date Card,debit,-16.12,General Spending,Other,goldenwest,checking
2025-05-16,Bank Withdrawal,debit,-40.0,General Spending,Other,goldenwest,checking
2025-05-19,Bear River Insurance,debit,-189.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-05-19,Oak Hills Pharmacy,debit,-23.01,Health & Wellness,Pharmacy,goldenwest,checking
2025-05-21,Life Starfish,debit,-200.0,Food / Dining,Groceries,goldenwest,checking
2025-05-22,Perks Payment,debit,-515.0,General Spending,Other,goldenwest,checking
2025-05-23,Payroll Deposit,credit,718.78,Income,Paychecks,goldenwest,checking
2025-05-25,Tstbrookers - Provo - J Date // Card,debit,-13.55,General Spending,Other,goldenwest,checking
2025-05-26,West Jordan Ut Card,debit,-52.49,General Spending,Other,goldenwest,checking
2025-05-27,Fandango/Vudu,debit,-16.11,Entertainment,Streaming/Movies,goldenwest,checking
2025-05-28,Ross,debit,-89.11,Shopping & Supplies,General Retail,goldenwest,checking
2025-05-28,Life Starfish,debit,-400.0,Food / Dining,Groceries,goldenwest,checking
2025-05-29,Walmart Supercenter,debit,-125.64,Food / Dining,Groceries,goldenwest,checking
2025-05-29,Ouelessebougou Alliance,debit,-5.0,General Spending,Other,goldenwest,checking
2025-05-29,Popbite Bakery,debit,-8.52,Food / Dining,Fast Food,goldenwest,checking
2025-05-29,"Pphansen Workshop, Llc Lindon Ut Date Card",debit,-8.6,General Spending,Other,goldenwest,checking
2025-05-29,Volker's Bakery,debit,-12.75,General Spending,Other,goldenwest,checking
2025-05-29,Taco Bell,debit,-17.3,Food / Dining,Fast Food,goldenwest,checking
2025-05-31,Interest Earned,credit,0.01,Savings & Investments,Dividends,sofi,savings
2025-05-31,Interest Earned,credit,1.15,Savings & Investments,Dividends,goldenwest,gold account
2025-05-31,Interest Earned,credit,1.42,Savings & Investments,Dividends,goldenwest,money market
2025-05-31,T-Mobile,debit,-11.16,Housing & Bills,Phone,goldenwest,checking
2025-05-31,Hobby Lobby,debit,-126.63,Shopping & Supplies,Hobbies,goldenwest,checking
2025-05-31,Interest Earned,credit,0.04,Savings & Investments,Dividends,goldenwest,checking
2025-05-31,Walgreens,debit,-114.37,Health & Wellness,Pharmacy,goldenwest,checking
2025-06-04,Byu (Campus Services),debit,-158.0,Education,Education,goldenwest,checking
2025-06-05,Costco Wholesale,debit,-124.5,Food / Dining,Groceries,goldenwest,checking
